index_dec,index_hex,group,char,source
0,0,confirmed,ア,vision
1,1,confirmed,イ,vision
2,2,confirmed,ウ,vision
3,3,confirmed,エ,vision
4,4,confirmed,オ,vision
5,5,confirmed,カ,vision
6,6,confirmed,キ,vision
7,7,confirmed,ク,vision
8,8,confirmed,ケ,vision
9,9,confirmed,コ,vision
10,a,confirmed,サ,vision
11,b,confirmed,シ,vision
12,c,confirmed,ス,vision
13,d,confirmed,セ,vision
14,e,confirmed,ソ,vision
15,f,confirmed,タ,vision
16,10,confirmed,チ,vision
17,11,confirmed,ツ,vision
18,12,confirmed,テ,vision
19,13,confirmed,ト,vision
20,14,confirmed,ナ,vision
21,15,confirmed,ニ,vision
22,16,confirmed,ヌ,vision
23,17,confirmed,ネ,vision
24,18,confirmed,ノ,vision
25,19,confirmed,ハ,vision
26,1a,confirmed,ヒ,vision
27,1b,confirmed,フ,vision
28,1c,confirmed,ヘ,vision
29,1d,confirmed,ホ,vision
30,1e,confirmed,マ,vision
31,1f,confirmed,ミ,vision
32,20,confirmed,ム,vision
33,21,confirmed,メ,vision
34,22,confirmed,モ,vision
35,23,confirmed,ヤ,vision
36,24,confirmed,ユ,vision
37,25,confirmed,ヨ,vision
38,26,confirmed,ワ,vision
39,27,confirmed,ン,vision
40,28,confirmed,ラ,vision
41,29,confirmed,リ,vision
42,2a,confirmed,ル,vision
43,2b,confirmed,レ,vision
44,2c,confirmed,ロ,vision
45,2d,confirmed,ガ,vision
46,2e,confirmed,ギ,vision
47,2f,confirmed,グ,vision
48,30,confirmed,ゲ,vision
49,31,confirmed,ゴ,vision
50,32,confirmed,ザ,vision
51,33,confirmed,ジ,vision
52,34,confirmed,ズ,vision
53,35,confirmed,ゼ,vision
54,36,confirmed,ゾ,vision
55,37,confirmed,ダ,vision
56,38,confirmed,ヂ,vision
57,39,confirmed,ヅ,vision
58,3a,confirmed,デ,vision
59,3b,confirmed,ド,vision
60,3c,confirmed,バ,vision
61,3d,confirmed,ビ,vision
62,3e,confirmed,ブ,vision
63,3f,confirmed,ベ,vision
64,40,confirmed,ボ,vision
65,41,confirmed,パ,vision
66,42,confirmed,ピ,vision
67,43,confirmed,プ,vision
68,44,confirmed,ペ,vision
69,45,confirmed,ポ,vision
70,46,confirmed,ヴ,vision
71,47,confirmed,！,vision
72,48,confirmed,？,vision
73,49,confirmed,・,vision
74,4a,confirmed,ー,vision
75,4b,confirmed,ァ,vision
76,4c,confirmed,ィ,vision
77,4d,confirmed,ゥ,vision
78,4e,confirmed,ェ,vision
79,4f,confirmed,ォ,vision
80,50,confirmed,ャ,vision
81,51,confirmed,ュ,vision
82,52,confirmed,ョ,vision
83,53,confirmed,ッ,vision
84,54,confirmed,,blank
85,55,confirmed,１,vision
86,56,confirmed,２,vision
87,57,confirmed,３,vision
88,58,confirmed,４,vision
89,59,confirmed,５,vision
90,5a,confirmed,６,vision
91,5b,confirmed,７,vision
92,5c,confirmed,８,vision
93,5d,confirmed,９,vision
94,5e,confirmed,０,vision
95,5f,confirmed,Ｄ,vision
96,60,confirmed,鉄,vision
97,61,confirmed,Ｓ,vision
98,62,confirmed,Ｌ,vision
99,63,confirmed,の,vision
100,64,confirmed,た,vision
101,65,confirmed,て,vision
102,66,confirmed,天,vision
103,67,confirmed,使,vision
104,68,confirmed,羽,vision
105,69,confirmed,護,vision
106,6a,confirmed,身,vision
107,6b,confirmed,用,vision
108,6c,confirmed,。,vision
109,6d,confirmed,Ａ,vision
110,6e,confirmed,Ｔ,vision
111,6f,confirmed,＋,vision
112,70,confirmed,Ｐ,vision
113,71,confirmed,大,vision
114,72,confirmed,き,vision
115,73,confirmed,な,vision
116,74,confirmed,で,vision
117,75,confirmed,、,vision
118,76,confirmed,片,vision
119,77,confirmed,ほ,vision
120,78,confirmed,う,vision
121,79,confirmed,が,vision
122,7a,confirmed,に,vision
