index_dec,char,replaced_char
22,Ф,ヌ
52,Ед,ズ
56,-,ヂ
57,пя,ヅ
77,зг,ゥ
84,А,
102,: ,天
104,йц,羽
118,х.,片
178,ыж,対
179,тн,極
183,ч.,接
188,вш,可
202,тё,属
236,Пф,序
237,ак,章
242,Зи,づ
243,г ,領
244,"ф,",村
246,ео,多
250,Гн,顔
254,рч,師
256,"с,",年
257,цу,昔
258,сг,友
260,ке,宿
262,"ь,",相
265,я.,外
274,ьв,助
283,бх,北
286,иж,右
288,гб,逃
289,иа,立
294,аа,達
295,у:,主
297,жч,訪
299,шл,衛
303,а:,的
304,В ,危
305,Ёр,険
306,фр,将
307,. ,腕
309,ьф,率
311,кв,到
315,С ,再
316,аб,包
317,еу,脱
319,п.,山
321,о.,弱
322,"е,",娘
324,кн,振
325,з.,切
330,дз,謎
333,Ро,着
334,яч,官
335,Ид,総
337,Вз,有
341,яш,導
342,е:,姿
343,сд,司
344,Ри,祭
345,зн,獣
347,Вк,傷
348,Эг,激
349,вх,状
350,Уп,態
351,"я,",近
353,Ми,害
354,ук,新
358,бн,移
360,Ср,老
361,эс,勇
362, Я,侵
368,ц ,恐
369,Ур,鋭
370,ев,敢
371,щё,市
372,ёй,民
373,ц.,霊
376,ип,合
377,ы:,流
378,дш,夜
380,нщ,辺
382,Си,昼
384,жн,静
385,б ,返
386,гв,墓
389, Е,儀
390,О ,式
395,"л,",安
399,юс,存
400,"у,",在
405,аи,武
406,пп,青
408,Ки,報
409,ьч,告
411,дё,離
413,рщ,巨
414,"н,",渡
416,Жд,落
418,вк,突
419,вя,試
420,жг,ざ
421,пё,進
422,"Я,",森
424,ё:,開
425,Ал,土
426,ел,瞬
427,Кс,猛
430,ьд,繰
431,вё,広
434,ыа,川
435,ю.,話
438,а.,野
439,мр,望
440,гх,阻
441,вб,止
444,гн,案
445,яе,同
447,тп,百
449,Ак,参
450,ср,謀
451,Хи,岩
454,нё,隠
455, Ф,口
458,"о,",感
465,ы.,現
466,"ж,",奪
467,н.,去
471,ь.,治
475,рг,深
476,её,湖
477,хи,底
479,ыр,納
480, А,幕
481,Же,氷
482,Вм,救
483,Сх,残
485,уч,短
486,ью,距
487,"д,",河
488,иг,徒
489,Ви,岸
490,дя,況
492,И ,探
494,Уй,裕
495,Га,都
498,ыс,難
499,Оз,造
501,д ,半
503,тш,門
505,жр,始
507,г.,玉
508,сз,座
510,нр,器
511,хл,語
512,юб,笑
513,йи,興
515,"т,",迎
516,Ис,襲
517,Су,楽
518,жм,当
521,Це,港
