index_dec,index_hex,group,char,source
0,0,confirmed,ア,vision
1,1,confirmed,イ,vision
2,2,confirmed,テ,vision
3,3,confirmed,ム,vision
4,4,confirmed,装,vision
5,5,confirmed,備,vision
6,6,confirmed,シ,vision
7,7,confirmed,ョ,vision
8,8,confirmed,ッ,vision
9,9,confirmed,プ,vision
10,a,confirmed,指,vision
11,b,confirmed,揮,vision
12,c,confirmed,官,vision
13,d,confirmed,配,vision
14,e,confirmed,置,vision
15,f,confirmed,兵,vision
16,10,confirmed,士,vision
17,11,confirmed,属,vision
18,12,confirmed,E,vision
19,13,confirmed,N,vision
20,14,confirmed,D,vision
21,15,confirmed,購,vision
22,16,confirmed,入,vision
23,17,confirmed,売,vision
24,18,confirmed,却,vision
25,19,confirmed,選,vision
26,1a,confirmed,択,vision
27,1b,confirmed,出,vision
28,1c,confirmed,撃,vision
29,1d,confirmed,フ,vision
30,1e,confirmed,ェ,vision
31,1f,confirmed,次,vision
32,20,confirmed,ズ,vision
33,21,confirmed,終,vision
34,22,confirmed,了,vision
35,23,confirmed,勝,vision
36,24,confirmed,利,vision
37,25,confirmed,条,vision
38,26,confirmed,件,vision
39,27,confirmed,S,vision
40,28,confirmed,A,vision
41,29,confirmed,V,vision
42,2a,confirmed,へ,vision
43,2b,confirmed,L,vision
44,2c,confirmed,O,vision
45,2d,confirmed,D,vision
46,2e,confirmed,ゲ,vision
47,2f,confirmed,ー,vision
48,30,confirmed,ム,vision
49,31,confirmed,設,vision
50,32,confirmed,定,vision
51,33,confirmed,K,vision
52,34,confirmed,?,vision
53,35,confirmed,Y,vision
54,36,confirmed,セ,vision
55,37,confirmed,速,vision
56,38,confirmed,度,vision
57,39,confirmed,高,vision
58,3a,confirmed,通,vision
59,3b,confirmed,常,vision
60,3c,confirmed,戦,vision
61,3d,confirmed,闘,vision
62,3e,confirmed,フ,vision
63,3f,confirmed,ン,vision
64,40,confirmed,F,vision
65,41,confirmed,表,vision
66,42,confirmed,示,vision
67,43,confirmed,コ,vision
68,44,confirmed,ィ,vision
69,45,confirmed,グ,vision
70,46,confirmed,デ,vision
71,47,confirmed,タ,vision
72,48,confirmed,を,vision
73,49,confirmed,ロ,vision
74,4a,confirmed,ド,vision
75,4b,confirmed,し,vision
76,4c,confirmed,す,vision
77,4d,confirmed,か,vision
78,4e,confirmed,面,vision
79,4f,confirmed,続,vision
80,50,confirmed,き,vision
81,51,confirmed,ら,vision
82,52,confirmed,ナ,vision
83,53,confirmed,リ,vision
84,54,confirmed,オ,vision
85,55,confirmed,が,vision
86,56,confirmed,あ,vision
87,57,confirmed,り,vision
88,58,confirmed,せ,vision
89,59,confirmed,ん,vision
90,5a,confirmed,壊,vision
91,5b,confirmed,れ,vision
92,5c,confirmed,て,vision
93,5d,confirmed,と,vision
94,5e,confirmed,の,vision
95,5f,confirmed,0,vision
96,60,confirmed,1,vision
97,61,confirmed,2,vision
98,62,confirmed,3,vision
99,63,confirmed,4,vision
100,64,confirmed,5,vision
101,65,confirmed,6,vision
102,66,confirmed,7,vision
103,67,confirmed,8,vision
104,68,confirmed,9,vision
105,69,confirmed,ま,vision
106,6a,confirmed,T,vision
107,6b,confirmed,U,vision
108,6c,confirmed,R,vision
109,6d,confirmed,C,vision
110,6e,confirmed,I,vision
111,6f,confirmed,M,vision
112,70,confirmed,　,vision
113,71,confirmed,P,vision
114,72,confirmed,H,vision
115,73,confirmed,移,vision
116,74,confirmed,動,vision
117,75,confirmed,攻,vision
118,76,confirmed,魔,vision
119,77,confirmed,法,vision
120,78,confirmed,召,vision
121,79,confirmed,喚,vision
122,7a,confirmed,治,vision
123,7b,confirmed,療,vision
124,7c,confirmed,命,vision
125,7d,confirmed,不,vision
126,7e,confirmed,足,vision
127,7f,confirmed,で,vision
128,80,confirmed,消,vision
129,81,confirmed,費,vision
130,82,confirmed,最,vision
131,83,confirmed,大,vision
132,84,confirmed,防,vision
133,85,confirmed,御,vision
134,86,confirmed,手,vision
135,87,confirmed,そ,vision
136,88,confirmed,こ,vision
137,89,confirmed,に,vision
138,8a,confirmed,は,vision
139,8b,confirmed,来,vision
140,8c,confirmed,味,vision
141,8d,confirmed,方,vision
142,8e,confirmed,ユ,vision
143,8f,confirmed,ニ,vision
144,90,confirmed,ト,vision
145,91,confirmed,敵,vision
146,92,confirmed,い,vision
147,93,confirmed,行,vision
148,94,confirmed,済,vision
149,95,confirmed,み,vision
150,96,confirmed,可,vision
151,97,confirmed,え,vision
152,98,confirmed,な,vision
153,99,confirmed,ス,vision
154,9a,confirmed,レ,vision
155,9b,confirmed,果,vision
156,9c,confirmed,報,vision
157,9d,confirmed,告,vision
158,9e,confirmed,名,vision
159,9f,confirmed,前,vision
160,a0,confirmed,決,vision
161,a1,confirmed,め,vision
162,a2,confirmed,下,vision
163,a3,confirmed,き,vision
164,a4,confirmed,突,vision
165,a5,confirmed,X,vision
