jp,text,alt
てつアレイ,Железные гантели,
アイアンゴーレム,Железный голем,
アキセル,Аксель,
アクトラクト,Актракт,
アサシン,Ассасин,
アサルトスーツ,Штурмовой костюм,
アドン,Адон,
アミュレット,Амулет,
アルハザード,Альхазард,
アルバート,Альберт,
アルファーン,Альфан,
アントノフ,Антонов,
アークデーモン,Архидемон,
アークメイジ,Архимаг,
アーザム,Азам,
アーバレスト,Арбалет,
イェルムンガルド,Ёрмунганд,
イフリート,Ифрит,
イルザック,Ильзах,
イーフリート,Ифрит,
ウィザード,Волшебник,
ウィッチ,Ведьма,
ウェアウルフ,Оборотень,
ウォーハンマー,Боевой молот,
ウォーロック,Колдун,
ウルフマン,Волколак,
エルフ,Эльф,
エレメンタル,Элементаль,
エンジェル,Ангел,
エンペラー,Император,
エージェント,Агент,
オーガー,Огр,
オーギタンス,Огитанс,
オーザ,Оза,
オーディンのたて,Щит Одина,
オーブ,Сфера,
カオス,Хаос,
カ・イロウ,Ка-Иро,
ガルヴェス,Гарвес,
ガーゴイル,Горгулья,
キャプテン,Капитан,
キルヒナー,Кирхнер,
キング,Король,
クィーン,Королева,
クイーンアント,Королева муравьёв,
クラウン,Корона,
クラーケン,Кракен,
クリス,Крис,
クルセイダー,Крестоносец,
クレリック,Клирик,
クロウラー,Ползун,
クロス,Крест,
グラディエーター,Гладиатор,
グランナイト,Великий рыцарь,
グリフォン,Грифон,
グレイプニール,Глейпнир,
グレナディーア,Гренадер,
グレートソード,Большой меч,
グレートドラゴン,Великий дракон,
ケルベロス,Цербер,
ゲル,Слизь,
ゲルギャザー,Сборщик слизи,
コッセル,Коссель,
ゴースト,Призрак,
ゴーレム,Голем,
サキュバス,Суккуб,
サムソン,Самсон,
サモナー,Призыватель,
サーペント,Змей,
サーペンナイト,Змеиный рыцарь,
サーペンマスター,Мастер змей,
サーペンロード,Лорд змей,
サー・ガリウス,Сэр Галиус,
ザルダフ,Зардаф,
ザーヴェラー,Заверлер,
シカ族,Племя Сика,
シスター,Сестра,
シビリアン,Мирный житель,
シャーマン,Шаман,
シルバーナイト,Серебряный рыцарь,
ジェシカ,Джессика,
ジェネラル,Генерал,
スカルディス,Скальдис,
スキュラ,Сцилла,
スケルトン,Скелет,
ストーンゴーレム,Каменный голем,
スピードブーツ,Сапоги скорости,
スペクター,Спектр,
スモールシールド,Малый щит,
セイント,Святой,
セリア,Селия,
セージ,Мудрец,
ゼルド,Ксельд,
ゼルヴィス,Зельвис,
ソルジャー,Солдат,
ソーサラー,Чародей,
ソードマスター,Мастер меча,
ソードマン,Мечник,
ソーン,Торн,
ゾンビ,Зомби,
ダークエルフ,Тёмный эльф,
ダークガード,Тёмный страж,
ダークマスター,Тёмный мастер,
ダークロッド,Тёмный жезл,
チェインメイル,Кольчуга,
ツダーク,Цудак,
テイラー,Тейлор,
テールホーン,Тейлхорн,
ディゴス,Дигос,
ディスタン,Дистан,
デビルアックス,Топор дьявола,
デュラハン,Дуллахан,
デーモン,Демон,
デーモンロード,Лорд демонов,
トルーパー,Пехотинец,
ドラグーン,Драгун,
ドラゴンスケイル,Драконья чешуя,
ドラゴンナイト,Драконий рыцарь,
ドラゴンマスター,Мастер драконов,
ドラゴンロード,Лорд драконов,
ドラフィム,Драфим,
ド・モトフ,До Мотов,
ナイト,Рыцарь,
ナイトマスター,Мастер-рыцарь,
ナイフ,Нож,
ナーギャ,Нагия,
ナーム,Нарм,
ニクシー,Никса,
ニコリス,Николис,
ネクロマンサー,Некромант,
ネックレス,Ожерелье,
ネルウィー,Нельви,
ハイエルフ,Высший эльф,
ハイスギット,Хайсгит,
ハイプリースト,Верховный жрец,
ハイマスター,Верховный мастер,
ハイランダー,Хайлендер,
ハイロード,Высший лорд,
ハーピー,Гарпия,
バジリスク,Василиск,
バット,Летучая мышь,
バラン,Валан,
バリスタ,Баллиста,
バレンツ,Баренц,
バンディッド,Бандит,
バンパイアロード,Лорд вампиров,
バーサーカー,Берсерк,
バーバリアン,Варвар,
パイク,Пикинер,
パイレーツ,Пират,
パラディン,Паладин,
ヒーディアス,Хидиас,
ヒーロー,Герой,
ビショップ,Епископ,
ファイアス,Файас,
ファイター,Боец,
ファランクス,Фаланга,
フェアリー,Фея,
フェニックス,Феникс,
フレイムランス,Огненное копьё,
プリンセス,Принцесса,
プリースト,Жрец,
プレートアーマー,Латный доспех,
ヘルハウンド,Адская гончая,
ベルヌーイ,Бернулли,
ホーキング,Хокинг,
ホークナイト,Соколиный рыцарь,
ホークロード,Соколиный лорд,
ホーリーロッド,Священный жезл,
ボーゼル,Бёзер,
ボーンディーノ,Костяной дино,
マスターディーノ,Мастер-дино,
マツニス,Мацунис,
マーマン,Водяной,
ミノタウロス,Минотавр,
ミラージュローブ,Миражная мантия,
メイジ,Маг,
メサイヤンソード,Меч Мессии,
モルガン,Морган,
モンク,Монах,
モンスター,Монстр,
モーガン,Морган,
ユニコーンナイト,Рыцарь-единорог,
ライアス,Лайас,
ラミスローゼ,Ламисрозе,
ラングリッサー,Лангриссер,
ランサー,Лансьер,
ランス,Ланс,
ラーカス,Лаакас,
ラージシールド,Большой щит,
リザードマン,Ящеролюд,
リスラム,Лислам,
リッチ,Лич,
リビングアーマー,Живые доспехи,
リヴァイアサン,Левиафан,
リーアップ,Лиапп,
ルキワード,Лукивард,
ルシリス,Луширис,
ルーンストーン,Рунный камень,
レイス,Призрак,
レティシア,Летиция,
レディン,Ледин,
